id,comment,reply,該当変更点情報
50,"キャップ一杯で、1 億個ものマイクロカプセルを含む柔軟剤が、環境に及ぼす影響は計り知れません。
実際に、東京湾のシジミからは人口香料が検出されています。なぜこれを規制しないのか。EU ではマイクロカプセルを含む日用品の規制が決まっています。日本でも規制してください。","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。","該当変更点:
- 変更ID: 215
  理由: 大気中のマイクロプラスチックの測定手法に関する調査が追加されているため。"
51,マイクロカプセル使用の柔軟剤や抗菌洗剤のにおいがマンションの外の離れたところまで臭って異常です。空気が汚染されています。自宅では 1 日中窓も開けることができません。環境を汚染するものへの規制をお願いします。,"P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。","該当変更点:
- 変更ID: 215
  理由: 大気中のマイクロプラスチックの測定手法に関する調査の記述が追加されているため。"
52,とにかく日本は経済政策を優先して環境や物の安全対策を疎かにしている。化学物質過敏症や香害の問題も安全性のエビデンスが覆され、多くの使用禁止の声があがっているのに危険性のエビデンスを求めるのは間違っている。まず使用禁止してから危険性のエビデンスを研究してほしい。香料臭がする海産物の存在を知っているのか。紅麹は何百人かの被害で動くのに９千人弱の被害の声が上がっている香害は動かない。この差はなんなのか。そして、環境省が推奨している薪ストーブに関しても多くの被害の声が上がっている。住宅地に設置などありえない。環境に良いと思っても被害の声が上がるようなものを推奨するのはあり得ない。被害者は国に振り回されている。除草剤もホームセンター入り口に山積みして売っているのは日本だけ。せめて、環境省が出しているリーフレットをつけて販売するべき。突然予告も配慮もなく撒かれる除草剤などあり得ない。メガソーラーもおかしい。いくら太陽光発電のためといえ、自然を破壊して設置することはあり得ない。土砂崩れや電磁波の被害者も出ている。プラゴミの分別も本当にリサイクルされているのか。ヨーロッパでさえ片隅で燃やしているようだ。分別させる仕事を作っているだけでそれによる利権が動いているだけではないのか。経済のために環境が疎かになり、環境のために被害者が出ていても放っておかれる。何かがおかしい。河川の環境と言いながら用水のコンクリート化の工事ばかり、これでは生物多様性などあり得ない。耕作放棄地が沢山あるならもっと簡単に農地を利用できるようにするべき。そうでないと使える農地が相続後に売られ住宅地にばかりになる。食料自給率を問題にするだけで一向に農地を農地として使えるようになっていない。農業委員会などがあっても農地は住宅地になる。意味が解らない。日本はおかしいことばかりだ。外国人に土地を売るなら水源を奪われないような方策を。,"P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。",該当変更点: 該当なし
53,"環境中のマイクロプラスチックにあたる日用品に入っているマイクロカプセル香料も環境と人体に悪い影響を出している。
日本では意図的に添加するマイクロカプセル香料の規制をしていないので生活排水や空気中から環境汚染が広がっている。
マイクロカプセル香料と抗菌除菌洗剤、塩素系洗剤、消臭剤など下水処理場の浄化能力を超えて分解、浄化されない日用品の化学物質成分も環境破壊になっている。
環境省ではこの進行中の環境汚染を放置しているが、環境保全のために早急にマイクロカプセル香料と日用品に使われる過剰な抗菌除菌剤などの生産販売、使用を規制してほしい。","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。","該当変更点:
- 変更ID: 215
  理由: 大気中のマイクロプラスチックの測定手法に関する調査の追加がコメントに関連。"
54,"香害と呼ばれる、日用品による化学物質受動での公害について記載してください。

大気中や水中、土壌内にマイクロプラスチックやマイクロ・ナノサイズの化学物質による汚染が広まっています。世界的に複数の研究者から報告されていますし、一般人でも顕微鏡を使えばそれらが観測できています。EU の規制を受けて大手企業は壁材をプラスチックでない原材料にシフトしていますが、プラスチックでなければ問題ないというものではありません。化学的に合成された香料や抗菌剤入りの小さな物質が、人や他の動物、地球環境に与える影響は決して軽視できるものではありません。

「物質的豊かさの追求に重きを置くこれまでの考え方、大量生産・大量消費・大量廃棄型の社会経済活動や生活様式は問い直されるべきである。」

清潔にするという本来の役目を大衆に忘れさせ、抗菌剤や香料でマスキングすれば不潔さが補えると誤認させる洗剤・柔軟剤・消臭・除菌スプレーの氾濫は、問い直されるべき生活様式の最たる例の一つです。環境問題を考えるにあたって、洗濯の問題は冷水洗濯の推奨や洗剤容器の脱プラスチック化ばかりが取り上げられますが（大手企業のマッチポンプ戦略の一環でしかありませんが）、人と生き物と環境の健康に最適であることことこそが環境問題の基本であり、長期的経済的発展戦略としてあるべき路線であるということを政府はもっと考え、国民に識らしめてください。","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。",該当変更点: 該当なし
55,"香害をご存知ですか？
柔軟剤や抗菌洗剤の排水により、川や海が汚染されています。柔軟剤などにふくまれる人工香料を包むマイクロカプセルはプラスチック素材のため、浄化曹の微生物に分解されず、川や海にそのまま垂れ流されているそうです。その証拠に、ヤマトシジミから柔軟剤由来と思われる人工香料群が検出されました。（2019 東京大学山室真澄教授）
また、抗菌洗剤が排水されるために、浄化曹の微生物は減少し、本来の浄化能力を発揮できなくなっているそうです。それにより、川や海の汚染はどんどん進んでいます。

マイクロカプセル香料や抗菌剤は空気汚染もしています。今やどこへ行っても人の衣類から揮発する人工香料や抗菌剤がかなりの濃度で漂っており、健康被害が出ています。

このままでは大人から子どもまで、みな不健康になります。
香害を新しい公害と位置づけて、対策を取って下さい。","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。",該当変更点: 該当なし
56,"環境省の環境基本計画案には、現在社会的問題になってきているマイクロカプセルなど徐放技術を使用した香つき柔軟剤や抗菌除菌洗剤を原因とする該当製品を使用していない第三者が化学物質過敏症や喘息などのアレルギー症状を発症し苦しんでいる香害について全く触れられていません。香害という新たな公害に対しては、国規模の大気、水質、土壌汚染を防止する必要があります。

P11 で、水俣病の対応の遅れに言及しているにもかかわらず、現在の国や企業の香害に対する対応は北米や欧州に比べはるかに遅れをとっており、これでは水俣病の被害が拡大したことと同じように香害による環境汚染、健康被害が拡大する恐れがあると思います。

水俣病の時と同じく、経済優先とする国や企業の方針によって、環境や健康に被害が出ているにも関わらずそうした被害者の声は全くと言って良いほど無視され続けています。

やがてそのつけは巡り巡って、未来の私たちを苦しめることになるはずです。

海外では、実際の被害が拡大してからではなく、予防的な取り組みとしてそうした問題へ取り組むというカタチが主流になりつつあると思いますが、日本に関しても同じく、被害が拡大してから対応するのではなく、被害が少ない時点で予防的な取り組みとして政策や規制を行って行くべきだと思います。

香害の現状を理解し、特に現在の空気や水質汚染に繋がっている洗剤などに使用されているナノ/マイクロカプセル汚染と除菌抗菌成分による健康被害や環境汚染の恐ろしさをもっと積極的に問題提起し、計画案にも防止策などを盛り込んでほしいと思います。

P167 の懸念事項で、ようやく、PFAS、内分泌撹乱物質、複合影響、ナノマテリアル、プラスチック添加剤に関して話題に出てきますが、それらについても香害と同様に、世界の安全基準をクリアするレベルで、積極的に環境汚染や健康被害に対しての予防的な取り組み方法をもっと盛り込んだ計画案を作成し、それらを実施するようにお願いしたいと思います。

p65 太陽光パネルを公共施設の屋根に載せる、p95 下水汚泥活用も、やめるべきでしょう。

環境汚染の要因に関してはさまざまなあると思いますが、現在の日本の洗濯洗剤は年々有害な化学物質を使用しているために人体や生態系への悪影響はもちろん、どこもかしこも空気が香料に満ちていたり、水道水やシジミから柔軟剤の香りがするなど、異常な状況です。PFAS 汚染に関しても問題視されていますが、それに反して規制の基準値のレベルが低いというのも大問題だと思います。

そうした状況を踏まえ、経済優先、個人や企業の私利私欲のためではなく、国民のための環境を真摯な姿勢で守って欲しいと思います。","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。",該当変更点: 該当なし
57,持続可能な環境を掲げていますが、香害、マイクロプラスチックの問題は避けられません。空気、土壌、水、どれも汚されています。柔軟剤や、抗菌洗剤、香り持続型の化粧品や日用品を規制しないと、体調を崩す方が増え、税収の見込みが減り、魚介類や農作物は汚染されます。1 日でも早い規制を望みます。,"P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。","該当変更点:
- 変更ID: 215
  理由: 大気中のマイクロプラスチックの測定手法に関する調査が追加されているため。"
58,"32 ページ 3 行目以降のプラスチックの汚染に関して。洗剤等の家庭用品に含まれるナノ/マイクロカプセル汚染が酷いです。既に人間の血中からみつかっています。肺に蓄積して損傷したり化学物質過敏症を発症するなど具体的な問題を盛り込んでほしいです。柔軟剤等の成分に起因する香害という公害で深刻な健康被害が多発しています。マイクロカプセルは pm2.5 になり香料は VOC を発生し大気汚染になることもあります。65 ページ 24 行目再生可能エネルギーの積極導入はすべきではありません。ソーラーパネルにより環境も景観も損なわれ、火災の消火に適さない、災害時に感電可能性がある等のマイナス面が全く考慮されていません。
95 ページ 28 行目下水汚泥は国内資源ではありません。廃棄物です。汚泥で食べるものを作るなんて狂気の沙汰です。
132 ページ除去土壌の再利用はすべきではない。汚染されているから集めているのに拡散するのは132 ページ除去土壌の再利用はすべきではない。汚染されているから集めているのに拡散するのは間違っている。167 ページ調査を行うのは必要ですが、既に出ている被害にも目を向けて、予防的な措置を講じてもらいたいです。11 ページで水俣病の被害の拡大を防止できなかったとあります。本当に遅きに失したと考えているならば、化学物質過敏症問題においても真剣に予防措置を講じ、被害者の救済に取り組んで下さい。","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。","該当変更点:
- 変更ID: 215
  理由: マイクロプラスチックの測定手法に関する調査の追加が関連しています。"
59,化学物質過敏症などの体調不良に留まらず、マイクロプラスチック問題に繋がる香害(柔軟剤や洗剤の香料を包むカプセル=マイクロプラスチック)についての周知・規制に取り組んでいただきたい。,"P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。","該当変更点:
- 変更ID: 215
  理由: 大気中のマイクロプラスチックの測定手法に関する調査が追加されているため。"
60,"香害という公害について盛り込むべきと思います。
特に洗濯用合成洗剤・柔軟剤に含まれる香料・除菌抗菌成分・消臭成分やそれらの「効果」を長持ちさせるための徐放技術として使われるマイクロカプセルの壁材が排水や空気中に排出されることで環境を汚染し、健康被害も引き起こしています。
成分開示の義務付けなどの対策が急務と思われます。","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。","該当変更点:
- 変更ID: 215
  理由: 大気中のマイクロプラスチックの測定手法に関する調査が追加されている。"
61,"いわゆる香害や農薬に関わる成分に関して規制基準を作って下さい。
EU が無秩序に何となく規制や使用制限、表示義務を課している訳ではないはずです。
他国の取り組みを取り入れ、世界基準に日本を合わせていく事こそがグローバル化であり、輸出入産業の活性化にも繋がるのではないでしょうか？
いわゆるマイクロカプセル（又はナノカプセル）も同様で、回収不能な成分だという事は認識しておられるはずです。
水道局の水質担当者も、日本中どこの下水処理場でも浄水場でも、香料成分やナノサイズの成分を濾過、回収、分解、無害化出来る装置は導入されていないと仰っていました。
既に新潟の水道水からは香料臭がします。
東京大学山室教授のご研究でもヤマトシジミから柔軟剤と類似の香料成分が検出されたと報告され、佐賀大の上野教授も海底堆積物から香料臭を感じたと報告されています。
東京農工大の高田秀重先生の最新のご研究内容からは、日本人の血液と腎臓等の臓器からマイクロプラスチックとナノプラスチック（ポリウレタン）が検出されたとの報告がありました。
ヒトも環境も土壌も香料やマイクロ（ナノ）カプセルで汚染する事が、地下水まで影響する事を  PFOS の件で十分ご承知のはず。
秋田県の水道水中の農薬の濃度が非常に高い事も山室教授が報告しています。
香料やフタル酸エステル類、農薬の使用量と発達障害児の増加は相関しています。米国では看護師のCOPD 発症率が一般人より三割高いと発表されています。貴重な医療人材に健康被害を与え続けて良いのでしょうか。

既に健康被害を訴える人が多数おり、学校や仕事に行けなくなるなどの社会的孤立と経済的困窮に陥っている人たちがこの日本に存在します。
医療機関に受診する事も諦めている人がいます。
環境さえ良くなれば、学校にも仕事にも病院に受診する事も出来ます。ご理解頂けますか？環境問題は人権問題でもあるのです。

以下を求めます。

1.室内環境基準の TVOC 濃度を暫定指標値から規制値（400μよりも低い基準で）に。測定条件は人が満員状態での測定にする事。
2.家庭用排水は全く規制がなされていないのだから排水として流す事を前提とした日用品、家庭用品、化粧品、雑貨類等の製品は全て無香料にし、LASや AE,エステル型ジアルキルアンモニウム塩（第四級アンモニウム塩）等の界面活性剤を使用不可とする。加えてマイクロ（ナノ）カプセル等の徐放技術は不使用とする。
3.フタル酸エステル類や第四級アンモニウム塩、抗菌剤は不使用とする。
4.家庭用品や日用品、雑貨に関しても GHS 絵表示を義務化し、マークについての説明を広く国民に周知する。
5.母子手帳交付の際に、香料やフタル酸エステル類に関し、生殖毒性が有る事を周知するチラシ等を添える。
6.過度な消毒を中止し、手指衛生は無香料石鹸でおこなう事を基本とする（医療機関を除く）
7.農薬の基準と種類の見直しを行い、出来るだけ無害の物や、影響が残らない薬品を選ぶ。
8.汚泥の肥料化は絶対に禁止する。重金属類や香料、マイクロカプセルやマイクロプラスチック（ナノプラスチック）が混入している。
9.水道水の基準に香料を追加し、香料を検出するために担当者及び施設関係者全てに無香料化を義務付ける。  検出は 1L 以上の水を 40 度？60 程度に加熱したものを複数人で嗅ぐ、またはガスクロマトグラフィー等での検出を試みる。
10.添加物が溶出しマイクロ（ナノ）プラスチックの発生源となるプラスチック容器の使用を現在の1/10 程度まで抑制する（ペットボトル含む）。
11.不純物や添加物の溶出しやすい再生プラスチックは食用の容器には使用しない（ペットボトル）。

等、すぐに行って下さい。
国が本気を出して国土と国民を守らなければ経済も医療も教育も立ち行かなくなります。
そして国の本気度が伝わり、国民一人一人に周知が広がれば、母数が大きく影響も大きいはずです。狭い国土をこれ以上汚染されたら住める場所がなくなります。日本国民が滅びます。すぐにでも規制を EU 並みにして下さい！","P89 L27-40,P120 L14-P121 L6 等に記載の基本的な考え方に沿って、 P16２ L ７-13 のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、ご指摘の点も今後の施策の参考としつつ、包括的な化学物質対策に関する取組を進めてまいります。

マイクロプラスチックについては、陸域での発生抑制・流出防止・代替素材の普及等に取り組むことが重要であると考え、消費者のみなさまに向けて衣服や人工芝からのマイクロプラスチックの排出を抑えるための工夫を掲載したリーフレットの公表や、発生・流出抑制に関する先進的な日本企業の取組をグッド・プラクティス集として国内外に公表しているほか、素材開発の支援等を行っており、引き続き実態把握や発生抑制に係る取組を進めます。これらのことは、P150  L11～L15 において、「マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関して、実態把握や発生抑制対策、回収・処理等を進めるための施策を進める」と記載しており、原案のとおりとさせていただきます。
また、大気中のマイクロプラスチックについては、存在状況を把握するための測定手法に係る調査研究を実施しており、こうした取組を着実に進めてまいります。ご意見を踏まえ、P159 L２～L４を以下のとおり修正いたします。
「その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリング、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。」
その他、いただいたご意見は、今後の施策の参考にさせていただきます。",該当変更点: 該当なし
